Sr. No,Categories,URL
,,https://blinkit.com/dc/stationery-games/toys-games/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=12256&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Toys+%26+Games&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/glue-tape/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=11730&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Glue+%26+Tape&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/books-magazines/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=12254&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Books+%26+Magazines&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/bags-school-needs/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=12255&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Bags+%26+School+Needs&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/childrens-books/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=714981&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Children%27s+Books&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/arts-crafts/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=583269&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Arts+%26+Crafts&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/files-office-needs/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=12257&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Files+%26+Office+Needs&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/gift-wraps-bags/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=627415&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Gift+Wraps+%26+Bags&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/sports-gym/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=11731&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Sports+%26+Gym&collection_name=Stationery+%26+Games
,,https://blinkit.com/dc/stationery-games/shoe-polish-brush/?collection_uuid=OTg3NjU0MzIxMjM0NTMzMjU%3D&collection_group_id=11729&sort=bestsellers&enable_auto_suggestions=false&should_disable_rails=false&hide_filters=false&show_filters=true&oos_visibility=true&exclude_combos=false&disable_previous_buy_boosting=false&should_disable_listing=false&should_personalise=false&critical_entities_visibility=false&collection_group_name=Shoe+Polish+%26+Brush&collection_name=Stationery+%26+Games
